ensembl_gene_id,naive_padj,guard_padj,category,cascaded,naive_l2fc,guard_l2fc,deseq_padj,deseq_l2fc,edger_fdr,edger_l2fc,voom_fdr,voom_l2fc,pydeseq_padj,naive_sig,guard_sig,deseq_sig,edger_sig,voom_sig,consensus2,consensus3
ENSG00000000003,0.8835706307670542,0.9851410163128844,neither,True,0.0658895028327628,0.0247653331133907,0.533388950790512,-0.218829072886847,0.536918707585421,-0.200032603082144,0.748886171476569,-0.154050132089364,0.5349695130440167,False,False,False,False,False,False,False
ENSG00000000005,0.7349577710716956,0.7324193291389567,neither,True,-0.1393274836904002,-0.2206058469118894,0.39697587391675,-0.731082614818491,0.456293555303632,-0.492865851084296,0.634309218422522,-0.483905100071868,0.3981722214936925,False,False,False,False,False,False,False
ENSG00000000419,0.9747237572542812,0.6383447424177277,neither,True,0.0126135701067742,0.0053735883899834,0.193979451935032,-0.238203473486118,0.174569428056203,-0.262671083012199,0.30417797873959,-0.25006674664218,0.1932552042649283,False,False,False,False,False,False,False
ENSG00000000457,0.5157117556649229,0.9409967435413356,neither,True,0.2094369673038931,0.0682501510552421,0.769824710098116,-0.056316018385415,0.698969284641705,-0.0670659512964306,0.756445436336072,-0.0674671405376039,0.7716982873687507,False,False,False,False,False,False,False
ENSG00000000460,0.1714410396316148,0.1706472676826979,neither,True,0.4040636064299945,0.1486618664765489,0.231602343357226,0.208067747454407,0.256972760150963,0.206106812585152,0.325126158248796,0.223497971215549,0.2309573783903035,False,False,False,False,False,False,False
ENSG00000000938,0.705797217427061,0.7150951598470644,neither,True,0.2259063968719095,0.2423164567685644,0.900306373510906,-0.144984458536511,0.232405292098747,0.997579940727115,0.818350725556823,0.267182194355198,0.9019260150912004,False,False,False,False,False,False,False
ENSG00000000971,0.2984538542649089,0.3048905442016835,neither,False,-0.7436793665155417,-0.3414018375254888,0.47565447092089,-0.563420343225757,0.506874385308371,-0.47792902141805,0.190097205718002,-1.32545836954736,0.476795109635536,False,False,False,False,False,False,False
ENSG00000001036,0.7913572328159444,0.4577803342132577,neither,True,-0.1067667425499974,-0.039776887384561,0.0977734816711094,-0.405479629105775,0.0734549855268937,-0.419073882328362,0.15180023512927,-0.395048473145375,0.0959392409688384,False,False,False,False,False,False,False
ENSG00000001084,0.5383938438142308,0.7996726445870144,neither,True,0.1794782669987311,0.0581062653348759,0.990229388530444,-0.0033536139656197,0.907686606794473,-0.0274382506064245,0.8294070390776,-0.0605474910446581,0.9904528239812136,False,False,False,False,False,False,False
ENSG00000001167,0.276293731963317,0.4139844685077671,neither,True,0.2355604254467902,0.0610064781933045,0.894943385837934,0.0275584686451134,0.905426041706046,0.0227257736038931,0.876641638751991,0.0328828470849467,0.8965243259462179,False,False,False,False,False,False,False
ENSG00000001460,0.5320346947889777,0.6598935690567619,neither,True,0.229924140227216,0.107681851212816,0.971858894781454,0.0165115874274227,0.980301978866051,-0.0086515400499456,0.973804178073477,0.0158364197679291,0.9725244567265642,False,False,False,False,False,False,False
ENSG00000001461,0.919353155703504,0.5946052456550898,neither,True,-0.0426711608247831,-0.0111786810635099,0.0964530125507024,-0.287236099055834,0.10371173147422,-0.288879212352604,0.136352947343551,-0.30997115469706,0.0945566183359013,False,False,False,False,False,False,False
ENSG00000001497,0.0584184355090908,0.0208445727382833,guardian_only,True,0.5725163307882211,0.1580729904252824,0.0578810438102057,0.334943149795718,0.0487611020968606,0.345343651628041,0.102211763589661,0.346275296417104,0.0563312999356694,False,True,False,True,False,False,False
ENSG00000001561,0.8971289601966946,0.912560357775558,neither,False,-0.0867184787653427,-0.0428494286810685,0.75310224988417,-0.208503174231932,0.672867382974357,-0.220276017493819,0.594439081418049,-0.425286847399669,0.75510517324991,False,False,False,False,False,False,False
ENSG00000001617,0.3344213374082174,0.3153367824817423,neither,True,0.4089716342615359,0.1234368632483932,0.380088775903155,0.29285201471635,0.311836493257736,0.305571634949376,0.618362611864173,0.2152972288783,0.3803670890657301,False,False,False,False,False,False,False
ENSG00000001626,0.9952700028988692,0.764680145733737,neither,True,0.003746595288197,0.00857417109867,0.72210574381171,-0.57671654159098,0.921154283866548,0.124876606792465,0.91291542617384,0.146388359693392,0.7247691446927338,False,False,False,False,False,False,False
ENSG00000001629,0.3017092960411089,0.3249719796421573,neither,True,0.3016570767778512,0.0604636762285525,0.593955667768229,0.113094545408144,0.675483691509691,0.0966568865462708,0.88584050168219,0.045417673360572,0.5960303829519602,False,False,False,False,False,False,False
