ensembl_gene_id,test_used,statistic,raw_p_value,adjusted_p_value,log2_fold_change,mean_primary,mean_metastasis,guardian_confidence,assumptions_passed,cascaded,n_violations,test_failed
ENSG00000000003,mann_whitney,983.0,0.95792577645148,0.9851410163128844,0.02476533311339078,3.805517376042986,3.871406878875748,0.7222222222222222,False,True,1,False
ENSG00000000005,mann_whitney,1077.0,0.477461315372947,0.7324193291389567,-0.2206058469118894,0.9825977610715362,0.8432702773811359,0.4444444444444444,False,True,2,False
ENSG00000000419,mann_whitney,1104.0,0.35693740889787373,0.6383447424177277,0.005373588389983439,3.3801744186772384,3.392787988784014,0.7222222222222222,False,True,1,False
ENSG00000000457,mann_whitney,966.0,0.8487326713723549,0.9409967435413357,0.06825015105524211,4.323257407156435,4.532694374460326,0.7222222222222222,False,True,1,False
ENSG00000000460,mann_whitney,718.0,0.02755144670619367,0.17064726768269797,0.1486618664765489,3.7226887573014356,4.1267523637314305,0.7222222222222222,False,True,1,False
ENSG00000000938,mann_whitney,897.0,0.4507295994568523,0.7150951598470644,0.24231645676856445,1.235200684703257,1.4611070815751663,0.4444444444444444,False,True,2,False
ENSG00000000971,t_test,1.7594664233825603,0.08193474350397356,0.30489054420168354,-0.3414018375254888,3.5291299059090275,2.785450539393486,1.0,True,False,0,False
ENSG00000001036,mann_whitney,1155.0,0.18182730147730586,0.4577803342132577,-0.039776887384561026,3.926024434630139,3.819257692080142,0.7222222222222222,False,True,1,False
ENSG00000001084,mann_whitney,921.0,0.578228450953536,0.7996726445870144,0.05810626533487592,4.367050612751141,4.546528879749873,0.7222222222222222,False,True,1,False
ENSG00000001167,mann_whitney,812.0,0.1496798478767659,0.41398446850776716,0.06100647819330451,5.453636245547755,5.689196670994544,0.7222222222222222,False,True,1,False
ENSG00000001460,mann_whitney,882.0,0.38292026570027715,0.6598935690567619,0.107681851212816,2.966935170713191,3.196859310940408,0.7222222222222222,False,True,1,False
ENSG00000001461,mann_whitney,1116.0,0.3083882612012254,0.5946052456550898,-0.01117868106350996,5.5284056692067525,5.485734508381968,0.4444444444444444,False,True,2,False
ENSG00000001497,mann_whitney,557.0,0.0004475198580620252,0.02084457273828332,0.1580729904252824,4.944190263289722,5.516706594077944,0.4444444444444444,False,True,2,False
ENSG00000001561,t_test,0.2766355037710435,0.7827014318251093,0.912560357775558,-0.04284942868106851,2.963293529731361,2.8765750509660184,1.0,True,False,0,False
ENSG00000001617,mann_whitney,779.0,0.08754270839478809,0.3153367824817423,0.1234368632483932,4.578374235521482,4.987345869783019,0.537037037037037,False,True,2,False
ENSG00000001626,mann_whitney,918.0,0.525171570643702,0.764680145733737,0.00857417109867005,0.6285328710816496,0.6322794663698468,0.4444444444444444,False,True,2,False
ENSG00000001629,mann_whitney,782.0,0.0921516002666255,0.32497197964215735,0.06046367622855258,7.047921109113045,7.349578185890896,0.4444444444444444,False,True,2,False
ENSG00000001630,t_test,-0.2986243909126137,0.7659227783052089,0.9048020210692813,0.050488565866866,1.2899771299630733,1.3359204054580909,1.0,True,False,0,False
ENSG00000001631,mann_whitney,814.0,0.15432191813236126,0.4206686294293016,0.06999082316714271,6.237401697819648,6.54746297679778,0.7222222222222222,False,True,1,False
ENSG00000002016,mann_whitney,770.5,0.0754857761485427,0.2921673611681427,0.08871531864508023,4.30404913828939,4.577024033903463,0.4444444444444444,False,True,2,False
ENSG00000002079,mann_whitney,939.0,0.6634145402432094,0.8517757046062062,0.014631573547970702,0.5674579108874241,0.5732422571541745,0.4444444444444444,False,True,2,False
ENSG00000002330,mann_whitney,816.0,0.15906593384676004,0.4278769276888273,0.12151898976942031,2.8619281264077636,3.1134334265055057,0.4444444444444444,False,True,2,False
ENSG00000002549,mann_whitney,676.0,0.0109423074982099,0.10368782357101486,0.1296966482211631,4.086783998968829,4.471201741536394,0.4444444444444444,False,True,2,False
ENSG00000002586,mann_whitney,934.0,0.6523781434283309,0.8454763588965243,0.05964067730730293,6.016927638271302,6.270879006696065,0.7222222222222222,False,True,1,False
ENSG00000002587,mann_whitney,1437.0,0.0002842548946790046,0.016712100406171024,-0.8799871191277429,2.195883844657703,1.193182417114729,0.7222222222222222,False,True,1,False
ENSG00000002726,mann_whitney,996.0,0.9508777780638085,0.9824261355542646,-0.4971234478467521,0.3211534102804454,0.22754299427206107,0.4444444444444444,False,True,2,False
ENSG00000002745,mann_whitney,875.0,0.35240196213828656,0.6344224885418583,0.15777734436835777,2.555076448846623,2.850359326719471,0.7222222222222222,False,True,1,False
ENSG00000002746,mann_whitney,1283.0,0.01756891989104414,0.13396642451351462,-0.5114675840527738,2.5182824962903942,1.7665964860756387,0.8148148148148148,False,True,1,False
ENSG00000002822,mann_whitney,758.0,0.060251387976247926,0.2578778352360762,0.1433354643832641,4.372881934733214,4.829654081626505,0.7222222222222222,False,True,1,False
ENSG00000002834,mann_whitney,1006.0,0.8998867629728701,0.9625453878299538,0.004890955652403392,6.731953157142083,6.754814231779161,0.537037037037037,False,True,2,False
ENSG00000002919,mann_whitney,874.0,0.3485293680989823,0.6306379904960381,0.08820237641320536,3.3621447974096546,3.5741104907820773,0.7222222222222222,False,True,1,False
ENSG00000002933,mann_whitney,871.0,0.33394893279640814,0.6189293636184113,0.13823851578118082,1.057665410408785,1.1640248217707996,0.537037037037037,False,True,2,False
ENSG00000003056,mann_whitney,841.0,0.2280924241301413,0.5133022385289828,0.06515207091236491,4.704977883502728,4.922325328770711,0.537037037037037,False,True,2,False
ENSG00000003096,mann_whitney,939.0,0.6817510720695068,0.8601417625424931,1.003219299732555e-05,2.6189063900712193,2.6189246014498906,0.537037037037037,False,True,2,False
ENSG00000003137,mann_whitney,1029.0,0.7546743290993525,0.8983291023444759,-0.004934177078000226,5.51358244985617,5.494757596149694,0.7222222222222222,False,True,1,False
ENSG00000003147,mann_whitney,1312.0,0.009069409034037624,0.09519581735762482,-0.30385232947254814,3.7845862900232903,3.065841836748286,0.8148148148148148,False,True,1,False
ENSG00000003249,t_test,-1.8648432737438503,0.06549888168397332,0.27077265219499314,0.29200492576361575,2.5653342390798866,3.1408427912715795,1.0,True,False,0,False
ENSG00000003393,mann_whitney,559.0,0.0004756350055158448,0.021259869433738608,0.11869390805761534,5.7119964095528095,6.20180850689661,0.4444444444444444,False,True,2,False
ENSG00000003400,t_test,-0.027337623939057903,0.9782516544740393,0.9932113045555117,0.003583352731048567,3.005592883822393,3.013067426661303,1.0,True,False,0,False
